product,description,category,image_path
เสื้อยืดสีขาว,เสื้อยืดผ้าคอตตอนเนื้อนุ่ม ใส่สบาย ระบายอากาศได้ดี,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown.jpeg
เสื้อเชิ้ตแขนยาว,เสื้อเชิ้ตสำหรับทำงาน ผ้าเรียบหรู รีดง่าย,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อฮู้ดกันหนาว,ฮู้ดดี้เนื้อผ้านุ่ม ด้านในบุขน กันลมกันหนาวได้ดี,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อครอป,เสื้อยืดครอปแนวแฟชั่น เหมาะกับลุคสตรีท,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อเชิ้ตลายสก็อต,เสื้อเชิ้ตแขนยาวลายสก็อต สวมใส่สบาย ใส่ได้ทุกโอกาส,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อโปโลสีกรม,เสื้อโปโลสำหรับผู้ชาย สีกรมท่า ทรงมาตรฐาน,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อไหมพรมคอเต่า,เสื้อกันหนาวไหมพรมแบบคอเต่า ใส่อุ่นในฤดูหนาว,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อแจ็คเก็ตยีนส์,แจ็คเก็ตยีนส์โอเวอร์ไซส์ สไตล์วินเทจ,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อเชิ้ตลินิน,เสื้อเชิ้ตผ้าลินินเนื้อบางเบา เหมาะกับอากาศร้อน,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อคลุมคาร์ดิแกน,เสื้อคาร์ดิแกนไหมพรม ใส่สบาย ให้ลุคอบอุ่น,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
กางเกงยีนส์ขาสั้น,กางเกงยีนส์ขาสั้นสำหรับผู้หญิง ดีไซน์ขาดนิดๆ,กางเกง,
กางเกงสแล็ค,กางเกงสแล็คสำหรับทำงาน ทรงเข้ารูป ดูเรียบร้อย,กางเกง,
กางเกงขาเดฟ,กางเกงขายาวทรงเดฟ ใส่กระชับ แฟชั่นสุดๆ,กางเกง,
กางเกงจ๊อกเกอร์,กางเกงจ๊อกเกอร์เอวยางยืด สำหรับลำลองและออกกำลังกาย,กางเกง,
